Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Genomic Location (Transcript)	Genomic Sequence ID	Chromosome
LmjF.36.3390	LmjF.36.3390:mRNA	Leishmania major strain Friedlin	LmjF.36:1,335,968..1,336,180(-)	ribosomal protein L29, putative	LmjF.36:1335968..1336180(-)	LmjF.36	36
LmjF.36.3400	LmjF.36.3400:mRNA	Leishmania major strain Friedlin	LmjF.36:1,337,345..1,337,557(-)	ribosomal protein L29, putative	LmjF.36:1337345..1337557(-)	LmjF.36	36
LmjF.36.4420	LmjF.36.4420:mRNA	Leishmania major strain Friedlin	LmjF.36:1,717,982..1,718,371(+)	60S ribosomal protein L22, putative	LmjF.36:1717982..1718371(+)	LmjF.36	36
LmxM.26.0170	LmxM.26.0170.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.26:40,113..40,871(-)	60S ribosomal protein L7, putative	LmxM.26:40113..40871(-)	LmxM.26	26
LmxM.26.0180	LmxM.26.0180.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.26:41,830..42,702(-)	60S ribosomal protein L7, putative	LmxM.26:41830..42702(-)	LmxM.26	26
LmxM.33.4160	LmxM.33.4160.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.33:1,568,134..1,580,859(+)	dynein heavy chain, putative	LmxM.33:1568134..1580859(+)	LmxM.33	33
LmxM.36.3270	LmxM.36.3270.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:1,282,550..1,282,939(-)	60S ribosomal protein L22, putative	LmxM.20:1282550..1282939(-)	LmxM.20	20
LmxM.36.3390	LmxM.36.3390.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:1,318,495..1,318,707(-)	ribosomal protein L29, putative	LmxM.20:1318495..1318707(-)	LmxM.20	20
LmxM.36.3400	LmxM.36.3400.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:1,319,835..1,320,047(-)	ribosomal protein L29, putative	LmxM.20:1319835..1320047(-)	LmxM.20	20
LmxM.36.4420	LmxM.36.4420.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:1,695,573..1,695,962(+)	60S ribosomal protein L22, putative	LmxM.20:1695573..1695962(+)	LmxM.20	20
LmjF.21.0380	LmjF.21.0380:mRNA	Leishmania major strain Friedlin	LmjF.21:120,228..120,875(+)	Protein of unknown function (DUF667), putative	LmjF.21:120228..120875(+)	LmjF.21	21
LmjF.35.3350	LmjF.35.3350:mRNA	Leishmania major strain Friedlin	LmjF.35:1,366,007..1,367,392(-)	Tetrapyrrole (Corrin/Porphyrin) Methylases, putative	LmjF.35:1366007..1367392(-)	LmjF.35	35
LmxM.08_29.2490	LmxM.08_29.2490.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.08:121,807..123,153(-)	protein kinase, putative	LmxM.08:121807..123153(-)	LmxM.08	8
LmxM.20.0970	LmxM.20.0970.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:3,017,607..3,018,641(+)	1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative	LmxM.20:3017607..3018641(+)	LmxM.20	20
LmxM.21.0380	LmxM.21.0380.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.21:111,862..112,509(+)	Protein of unknown function (DUF667), putative	LmxM.21:111862..112509(+)	LmxM.21	21
LmxM.30.1440	LmxM.30.1440.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.30:654,793..656,160(-)	hypothetical protein, unknown function	LmxM.30:654793..656160(-)	LmxM.30	30
LmxM.34.3350	LmxM.34.3350.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.34:1,279,307..1,280,695(-)	Tetrapyrrole (Corrin/Porphyrin) Methylases, putative	LmxM.34:1279307..1280695(-)	LmxM.34	34
LmjF.19.0980	LmjF.19.0980:mRNA	Leishmania major strain Friedlin	LmjF.19:390,590..393,493(+)	FYVE zinc finger, putative	LmjF.19:390590..393493(+)	LmjF.19	19
LmxM.13.0170	LmxM.13.0170.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.13:49,386..51,257(-)	MOZ/SAS family acetyltransferase, putative	LmxM.13:49386..51257(-)	LmxM.13	13
LmxM.19.0980	LmxM.19.0980.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.19:370,506..373,187(+)	FYVE zinc finger, putative	LmxM.19:370506..373187(+)	LmxM.19	19
LmjF.11.1160	LmjF.11.1160:mRNA	Leishmania major strain Friedlin	LmjF.11:474,571..478,047(+)	protein transport protein SEC31, putative	LmjF.11:474571..478047(+)	LmjF.11	11
LmjF.20.0020	LmjF.20.0020:mRNA	Leishmania major strain Friedlin	LmjF.20:6,340..7,572(-)	WD domain, G-beta repeat, putative	LmjF.20:6340..7572(-)	LmjF.20	20
LmjF.22.1120	LmjF.22.1120:mRNA	Leishmania major strain Friedlin	LmjF.22:477,835..479,226(+)	Beta-lactamase superfamily domain containing protein, putative	LmjF.22:477835..479226(+)	LmjF.22	22
LmjF.23.0125	LmjF.23.0125:mRNA	Leishmania major strain Friedlin	LmjF.23:41,061..41,639(+)	cyclophilin 3, putative	LmjF.23:41061..41639(+)	LmjF.23	23
LmjF.26.1560	LmjF.26.1560:mRNA	Leishmania major strain Friedlin	LmjF.26:567,190..572,493(+)	SNF2 family N-terminal domain/Ring finger domain containing protein, putative	LmjF.26:567190..572493(+)	LmjF.26	26
LmjF.28.2380	LmjF.28.2380:mRNA	Leishmania major strain Friedlin	LmjF.28:916,728..921,938(+)	subtilisin-like serine peptidase	LmjF.28:916728..921938(+)	LmjF.28	28
LmjF.30.2170	LmjF.30.2170:mRNA	Leishmania major strain Friedlin	LmjF.30:811,476..813,056(-)	E3 ubiquitin-protein ligase, putative	LmjF.30:811476..813056(-)	LmjF.30	30
LmjF.30.2250	LmjF.30.2250:mRNA	Leishmania major strain Friedlin	LmjF.30:862,945..864,060(-)	zinc-finger protein, conserved	LmjF.30:862945..864060(-)	LmjF.30	30
LmjF.32.0850	LmjF.32.0850:mRNA	Leishmania major strain Friedlin	LmjF.32:319,004..321,295(+)	polypyrimidine tract-binding protein, putative	LmjF.32:319004..321295(+)	LmjF.32	32
LmjF.33.1890	LmjF.33.1890:mRNA	Leishmania major strain Friedlin	LmjF.33:848,497..850,407(+)	hypothetical protein, conserved	LmjF.33:848497..850407(+)	LmjF.33	33
LmxM.11.0820	LmxM.11.0820.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.11:302,167..303,180(+)	hypothetical protein, conserved	LmxM.11:302167..303180(+)	LmxM.11	11
LmxM.14.0970	LmxM.14.0970.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.14:381,857..382,720(-)	hypothetical protein, conserved	LmxM.14:381857..382720(-)	LmxM.14	14
LmxM.15.1320	LmxM.15.1320.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.15:489,234..493,592(-)	Eukaryotic translation initiation factor 4 gamma 2	LmxM.15:489234..493592(-)	LmxM.15	15
LmxM.20.0020	LmxM.20.0020.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:2,641,466..2,642,725(-)	WD domain, G-beta repeat, putative	LmxM.20:2641466..2642725(-)	LmxM.20	20
LmxM.26.2360	LmxM.26.2360.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.26:882,337..884,361(+)	sec1 family transport protein, putative	LmxM.26:882337..884361(+)	LmxM.26	26
LmxM.29.2170	LmxM.29.2170.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.29:761,896..763,452(-)	Ring-between-ring E3 ligase, putative	LmxM.29:761896..763452(-)	LmxM.29	29
LmxM.32.2450	LmxM.32.2450.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.32:974,237..979,114(+)	hypothetical protein, conserved	LmxM.32:974237..979114(+)	LmxM.32	32
LmxM.33.0210	LmxM.33.0210.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.33:74,414..75,043(+)	CS domain containing protein, putative	LmxM.33:74414..75043(+)	LmxM.33	33
LmxM.34.1960	LmxM.34.1960.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.34:704,331..704,885(+)	ribosomal protein L32-like protein	LmxM.34:704331..704885(+)	LmxM.34	34
LmjF.16.1130	LmjF.16.1130:mRNA	Leishmania major strain Friedlin	LmjF.16:454,329..455,042(+)	tyrosyl or methionyl-tRNA synthetase-like protein	LmjF.16:454329..455042(+)	LmjF.16	16
LmjF.22.0470	LmjF.22.0470:mRNA	Leishmania major strain Friedlin	LmjF.22:184,606..185,886(-)	Putative tRNA binding domain containing protein, putative	LmjF.22:184606..185886(-)	LmjF.22	22
LmxM.08_29.2390	LmxM.08_29.2390.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.08:161,063..162,832(-)	kinesin, putative	LmxM.08:161063..162832(-)	LmxM.08	8
LmxM.16.1130	LmxM.16.1130.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.16:438,306..438,848(+)	tyrosyl or methionyl-tRNA synthetase-like protein	LmxM.16:438306..438848(+)	LmxM.16	16
LmxM.22.0470	LmxM.22.0470.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.22:181,140..182,402(-)	Putative tRNA binding domain containing protein, putative	LmxM.22:181140..182402(-)	LmxM.22	22
LmjF.25.2430	LmjF.25.2430:mRNA	Leishmania major strain Friedlin	LmjF.25:898,219..899,814(+)	Xaa-Pro aminopeptidase, putative	LmjF.25:898219..899814(+)	LmjF.25	25
LmxM.05.0900	LmxM.05.0900.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.05:336,421..337,281(+)	surface antigen-like protein	LmxM.05:336421..337281(+)	LmxM.05	5
LmjF.08.1090	LmjF.08.1090:mRNA	Leishmania major strain Friedlin	LmjF.08:480,203..482,032(-)	histone deacetylase, putative	LmjF.08:480203..482032(-)	LmjF.08	8
LmjF.24.0890	LmjF.24.0890:mRNA	Leishmania major strain Friedlin	LmjF.24:308,534..312,046(+)	DNA polymerase theta	LmjF.24:308534..312046(+)	LmjF.24	24
LmjF.36.4630	LmjF.36.4630:mRNA	Leishmania major strain Friedlin	LmjF.36:1,791,719..1,792,423(+)	Ham1 family, putative	LmjF.36:1791719..1792423(+)	LmjF.36	36
LmxM.23.0250	LmxM.23.0250.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.23:88,131..92,846(+)	ABC-thiol transporter	LmxM.23:88131..92846(+)	LmxM.23	23
LmxM.24.0890	LmxM.24.0890.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.24:311,087..314,602(+)	DNA polymerase theta	LmxM.24:311087..314602(+)	LmxM.24	24
LmjF.07.0802	LmjF.07.0802:mRNA	Leishmania major strain Friedlin	LmjF.07:381,932..382,990(+)	hypothetical protein, conserved	LmjF.07:381932..382990(+)	LmjF.07	7
LmjF.11.0690	LmjF.11.0690:mRNA	Leishmania major strain Friedlin	LmjF.11:282,145..282,825(+)	Ankyrin repeats (3 copies)/Ankyrin repeats (many copies), putative	LmjF.11:282145..282825(+)	LmjF.11	11
LmjF.26.0270	LmjF.26.0270:mRNA	Leishmania major strain Friedlin	LmjF.26:70,024..71,517(-)	ras-like small GTPases, putative	LmjF.26:70024..71517(-)	LmjF.26	26
LmjF.34.1520	LmjF.34.1520:mRNA	Leishmania major strain Friedlin	LmjF.34:690,471..690,932(-)	p25-alpha, putative	LmjF.34:690471..690932(-)	LmjF.34	34
LmjF.34.1530	LmjF.34.1530:mRNA	Leishmania major strain Friedlin	LmjF.34:692,402..692,791(-)	p25-alpha, putative	LmjF.34:692402..692791(-)	LmjF.34	34
LmjF.36.2140	LmjF.36.2140:mRNA	Leishmania major strain Friedlin	LmjF.36:858,779..860,083(+)	hypothetical protein, conserved	LmjF.36:858779..860083(+)	LmjF.36	36
LmxM.16.0920	LmxM.16.0920.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.16:330,480..331,091(-)	flagellar calcium-binding protein, putative	LmxM.16:330480..331091(-)	LmxM.16	16
LmxM.33.1520	LmxM.33.1520.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.33:664,127..664,525(-)	p25-alpha, putative	LmxM.33:664127..664525(-)	LmxM.33	33
LmjF.12.0220	LmjF.12.0220:mRNA	Leishmania major strain Friedlin	LmjF.12:74,559..75,446(+)	glyoxalase II, putative	LmjF.12:74559..75446(+)	LmjF.12	12
LmjF.33.1590	LmjF.33.1590:mRNA	Leishmania major strain Friedlin	LmjF.33:754,848..755,828(+)	3-ketoacyl-CoA reductase, putative	LmjF.33:754848..755828(+)	LmjF.33	33
LmjF.36.6080	LmjF.36.6080:mRNA	Leishmania major strain Friedlin	LmjF.36:2,340,490..2,341,734(-)	rab-like GTPase activating protein, putative	LmjF.36:2340490..2341734(-)	LmjF.36	36
LmjF.09.0310	LmjF.09.0310:mRNA	Leishmania major strain Friedlin	LmjF.09:121,345..124,008(+)	cdc2-related kinase 12	LmjF.09:121345..124008(+)	LmjF.09	9
LmjF.26.2430	LmjF.26.2430:mRNA	Leishmania major strain Friedlin	LmjF.26:988,116..989,294(+)	Lys-63-specific deubiquitinase BRCC36, putative	LmjF.26:988116..989294(+)	LmjF.26	26
LmjF.34.0610	LmjF.34.0610:mRNA	Leishmania major strain Friedlin	LmjF.34:256,957..257,910(+)	enoyl-[acyl-carrier-protein] reductase, putative	LmjF.34:256957..257910(+)	LmjF.34	34
LmjF.36.0550	LmjF.36.0550:mRNA	Leishmania major strain Friedlin	LmjF.36:159,355..160,290(+)	cdc2-related kinase 3	LmjF.36:159355..160290(+)	LmjF.36	36
LmxM.33.0610	LmxM.33.0610.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.33:247,388..248,341(+)	enoyl-[acyl-carrier-protein] reductase, putative	LmxM.33:247388..248341(+)	LmxM.33	33
LmxM.36.0550	LmxM.36.0550.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:152,342..153,277(+)	cdc2-related kinase 3, putative	LmxM.20:152342..153277(+)	LmxM.20	20
LmjF.34.2150	LmjF.34.2150:mRNA	Leishmania major strain Friedlin	LmjF.34:950,336..954,760(-)	eukaryotic translation initiation factor 2-alpha kinase 2	LmjF.34:950336..954760(-)	LmjF.34	34
LmjF.34.4560	LmjF.34.4560:mRNA	Leishmania major strain Friedlin	LmjF.34:1,849,006..1,850,178(+)	Double RNA binding domain protein 7	LmjF.34:1849006..1850178(+)	LmjF.34	34
LmjF.14.0950	LmjF.14.0950:mRNA	Leishmania major strain Friedlin	LmjF.14:388,233..388,739(-)	Ribosomal protein L16p/L10e, putative	LmjF.14:388233..388739(-)	LmjF.14	14
LmjF.25.0230	LmjF.25.0230:mRNA	Leishmania major strain Friedlin	LmjF.25:73,269..74,255(-)	Phosphatase and tensin homolog, putative	LmjF.25:73269..74255(-)	LmjF.25	25
LmjF.25.2060	LmjF.25.2060:mRNA	Leishmania major strain Friedlin	LmjF.25:798,269..799,375(-)	Stage II sporulation protein E (SpoIIE), putative	LmjF.25:798269..799375(-)	LmjF.25	25
LmjF.27.1180	LmjF.27.1180:mRNA	Leishmania major strain Friedlin	LmjF.27:496,820..498,088(-)	protein phosphatase 2C, putative	LmjF.27:496820..498088(-)	LmjF.27	27
LmjF.28.1920	LmjF.28.1920:mRNA	Leishmania major strain Friedlin	LmjF.28:742,278..742,619(-)	Double-stranded DNA-binding domain containing protein, putative	LmjF.28:742278..742619(-)	LmjF.28	28
LmjF.30.0500	LmjF.30.0500:mRNA	Leishmania major strain Friedlin	LmjF.30:164,014..165,471(-)	hypothetical protein, conserved	LmjF.30:164014..165471(-)	LmjF.30	30
LmjF.33.0700	LmjF.33.0700:mRNA	Leishmania major strain Friedlin	LmjF.33:293,165..294,334(+)	hypothetical protein, conserved	LmjF.33:293165..294334(+)	LmjF.33	33
LmjF.34.0620	LmjF.34.0620:mRNA	Leishmania major strain Friedlin	LmjF.34:265,646..272,842(+)	hypothetical protein, conserved	LmjF.34:265646..272842(+)	LmjF.34	34
LmjF.35.3030	LmjF.35.3030:mRNA	Leishmania major strain Friedlin	LmjF.35:1,236,443..1,237,243(-)	prenyl protein specific carboxyl methyltransferase, putative	LmjF.35:1236443..1237243(-)	LmjF.35	35
LmjF.36.4710	LmjF.36.4710:mRNA	Leishmania major strain Friedlin	LmjF.36:1,823,333..1,825,516(+)	hypothetical protein, conserved	LmjF.36:1823333..1825516(+)	LmjF.36	36
LmxM.05.0890	LmxM.05.0890.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.05:329,338..335,286(+)	CPSF A subunit region, putative	LmxM.05:329338..335286(+)	LmxM.05	5
LmxM.08_29.1790	LmxM.08_29.1790.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.08:383,353..386,871(+)	hypothetical protein, conserved	LmxM.08:383353..386871(+)	LmxM.08	8
LmxM.17.0290	LmxM.17.0290.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.17:136,871..139,021(-)	Zinc finger, C3HC4 type (RING finger), putative	LmxM.17:136871..139021(-)	LmxM.17	17
LmxM.20.0140	LmxM.20.0140.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:2,682,563..2,686,210(-)	hypothetical protein, conserved	LmxM.20:2682563..2686210(-)	LmxM.20	20
LmxM.25.0230	LmxM.25.0230.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.25:71,674..72,660(-)	Dual specificity phosphatase, catalytic domain containing protein, putative	LmxM.25:71674..72660(-)	LmxM.25	25
LmxM.25.2060	LmxM.25.2060.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.25:774,475..775,584(-)	Stage II sporulation protein E (SpoIIE), putative	LmxM.25:774475..775584(-)	LmxM.25	25
LmxM.27.1180	LmxM.27.1180.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.27:477,827..479,095(-)	hypothetical protein, conserved	LmxM.27:477827..479095(-)	LmxM.27	27
LmxM.28.0620	LmxM.28.0620.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.28:225,354..229,301(-)	protein kinase, putative	LmxM.28:225354..229301(-)	LmxM.28	28
LmxM.28.1040	LmxM.28.1040.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.28:366,671..369,196(+)	hypothetical protein, unknown function	LmxM.28:366671..369196(+)	LmxM.28	28
LmxM.28.1760	LmxM.28.1760.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.28:662,681..667,567(-)	protein kinase, putative	LmxM.28:662681..667567(-)	LmxM.28	28
LmxM.28.1920	LmxM.28.1920.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.28:728,792..729,133(-)	Double-stranded DNA-binding domain containing protein, putative	LmxM.28:728792..729133(-)	LmxM.28	28
LmxM.31.1430	LmxM.31.1430.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.31:549,384..552,776(-)	hypothetical protein, conserved	LmxM.31:549384..552776(-)	LmxM.31	31
LmxM.34.1390	LmxM.34.1390.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.34:516,823..518,856(+)	Zn-finger in Ran binding protein and others/OTU-like cysteine protease, putative	LmxM.34:516823..518856(+)	LmxM.34	34
LmxM.34.2960	LmxM.34.2960.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.34:1,125,101..1,126,780(-)	denn domain-containing protein	LmxM.34:1125101..1126780(-)	LmxM.34	34
LmxM.34.3030	LmxM.34.3030.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.34:1,148,424..1,149,224(-)	prenyl protein specific carboxyl methyltransferase, putative	LmxM.34:1148424..1149224(-)	LmxM.34	34
LmxM.27.1380a	LmxM.27.1380a.1	Leishmania mexicana MHOM/GT/2001/U1103	1036_mexFOS1_13k16.p1kpIBF_46:3,240..3,842(-)	hypothetical protein	1036_mexFOS1_13k16.p1kpIBF_46:3240..3842(-)	1036_mexFOS1_13k16.p1kpIBF_46	Not Assigned
LmjF.14.0970	LmjF.14.0970.1:mRNA	Leishmania major strain Friedlin	LmjF.14:395,440..396,465(-)	hypothetical protein, conserved	LmjF.14:395440..396465(-)	LmjF.14	14
LmjF.18.1530	LmjF.18.1530:mRNA	Leishmania major strain Friedlin	LmjF.18:691,615..695,595(+)	kinesin, putative	LmjF.18:691615..695595(+)	LmjF.18	18
LmjF.12.1190	LmjF.12.1190:mRNA	Leishmania major strain Friedlin	LmjF.12:604,235..609,058(+)	ABC transporter, putative	LmjF.12:604235..609058(+)	LmjF.12	12
LmjF.31.0700	LmjF.31.0700:mRNA	Leishmania major strain Friedlin	LmjF.31:244,600..247,467(-)	ATP-dependent zinc metallopeptidase, putative	LmjF.31:244600..247467(-)	LmjF.31	31
LmjF.31.2900	LmjF.31.2900:mRNA	Leishmania major strain Friedlin	LmjF.31:1,371,501..1,372,925(-)	Nucleoporin NUP62	LmjF.31:1371501..1372925(-)	LmjF.31	31
LmxM.13.0960	LmxM.13.0960.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.13:301,912..303,585(-)	serine peptidase, Clan SJ, family S16, putative	LmxM.13:301912..303585(-)	LmxM.13	13
LmxM.24.1110	LmxM.24.1110.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.24:387,738..391,322(+)	formin-like protein	LmxM.24:387738..391322(+)	LmxM.24	24
LmxM.36.4170	LmxM.36.4170.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:1,567,500..1,568,522(+)	oxidoreductase, putative	LmxM.20:1567500..1568522(+)	LmxM.20	20
LmjF.16.0580	LmjF.16.0580:mRNA	Leishmania major strain Friedlin	LmjF.16:206,884..208,101(-)	dihydroorotase, putative	LmjF.16:206884..208101(-)	LmjF.16	16
LmjF.33.1230	LmjF.33.1230:mRNA	Leishmania major strain Friedlin	LmjF.33:565,959..567,824(+)	WD domain, G-beta repeat, putative	LmjF.33:565959..567824(+)	LmjF.33	33
LmxM.12.0220	LmxM.12.0220.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.12:74,200..75,087(+)	hydroxyacylglutathione hydrolase, putative	LmxM.12:74200..75087(+)	LmxM.12	12
LmxM.22.0520	LmxM.22.0520.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.22:198,008..201,394(-)	Rab-GTPase-TBC domain containing protein, putative	LmxM.22:198008..201394(-)	LmxM.22	22
LmjF.31.1340	LmjF.31.1340:mRNA	Leishmania major strain Friedlin	LmjF.31:581,301..582,686(-)	'Cold-shock' DNA-binding domain containing protein, putative	LmjF.31:581301..582686(-)	LmjF.31	31
LmjF.25.2190	LmjF.25.2190:mRNA	Leishmania major strain Friedlin	LmjF.25:831,600..832,733(+)	DnaJ domain/Zinc-finger double-stranded RNA-binding, putative	LmjF.25:831600..832733(+)	LmjF.25	25
LmjF.31.0510	LmjF.31.0510:mRNA	Leishmania major strain Friedlin	LmjF.31:174,993..176,786(-)	DnaJ domain containing protein, putative	LmjF.31:174993..176786(-)	LmjF.31	31
LmjF.36.0820	LmjF.36.0820:mRNA	Leishmania major strain Friedlin	LmjF.36:288,511..289,416(+)	ADP-ribosylation factor-like protein	LmjF.36:288511..289416(+)	LmjF.36	36
LmxM.25.2190	LmxM.25.2190.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.25:808,640..809,773(+)	DnaJ domain/Zinc-finger double-stranded RNA-binding, putative	LmxM.25:808640..809773(+)	LmxM.25	25
LmxM.34.4040	LmxM.34.4040.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.34:1,512,459..1,513,631(+)	hypothetical protein, conserved	LmxM.34:1512459..1513631(+)	LmxM.34	34
LmxM.36.2110	LmxM.36.2110.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:828,535..829,395(+)	chaperone protein DnaJ, putative	LmxM.20:828535..829395(+)	LmxM.20	20
LmjF.03.0100	LmjF.03.0100:mRNA	Leishmania major strain Friedlin	LmjF.03:24,873..25,634(+)	cytochrome c oxidase assembly protein, putative	LmjF.03:24873..25634(+)	LmjF.03	3
LmjF.10.0570	LmjF.10.0570:mRNA	Leishmania major strain Friedlin	LmjF.10:287,288..288,724(-)	zinc-binding dehydrogenase-like protein	LmjF.10:287288..288724(-)	LmjF.10	10
LmjF.20.1340	LmjF.20.1340:mRNA	Leishmania major strain Friedlin	LmjF.20:608,417..609,361(+)	protein kinase, putative	LmjF.20:608417..609361(+)	LmjF.20	20
LmjF.21.1410	LmjF.21.1410:mRNA	Leishmania major strain Friedlin	LmjF.21:582,748..583,860(-)	Protein of unknown function (DUF971), putative	LmjF.21:582748..583860(-)	LmjF.21	21
LmjF.31.2520	LmjF.31.2520:mRNA	Leishmania major strain Friedlin	LmjF.31:1,231,578..1,234,121(-)	hypothetical protein, conserved	LmjF.31:1231578..1234121(-)	LmjF.31	31
LmjF.31.2530	LmjF.31.2530:mRNA	Leishmania major strain Friedlin	LmjF.31:1,235,744..1,238,221(-)	hypothetical protein, conserved	LmjF.31:1235744..1238221(-)	LmjF.31	31
LmjF.31.2540	LmjF.31.2540:mRNA	Leishmania major strain Friedlin	LmjF.31:1,239,844..1,242,381(-)	hypothetical protein, conserved	LmjF.31:1239844..1242381(-)	LmjF.31	31
LmjF.32.2020	LmjF.32.2020:mRNA	Leishmania major strain Friedlin	LmjF.32:790,576..791,241(-)	cop-coated vesicle membrane protein p24 precursor, putative	LmjF.32:790576..791241(-)	LmjF.32	32
LmjF.32.2650	LmjF.32.2650:mRNA	Leishmania major strain Friedlin	LmjF.32:1,038,357..1,044,488(-)	SpoU rRNA Methylase family, putative	LmjF.32:1038357..1044488(-)	LmjF.32	32
LmjF.35.2680	LmjF.35.2680:mRNA	Leishmania major strain Friedlin	LmjF.35:1,089,006..1,089,320(-)	heat shock factor binding protein 1, putative	LmjF.35:1089006..1089320(-)	LmjF.35	35
LmjF.36.0300	LmjF.36.0300:mRNA	Leishmania major strain Friedlin	LmjF.36:86,913..87,911(-)	Mutt-Nudix-related hydrolase 5, putative	LmjF.36:86913..87911(-)	LmjF.36	36
LmxM.03.0100	LmxM.03.0100.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.03:26,170..26,664(+)	cytochrome c oxidase assembly protein, putative	LmxM.03:26170..26664(+)	LmxM.03	3
LmxM.04.1090	LmxM.04.1090.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.04:375,044..378,949(-)	hypothetical protein, conserved	LmxM.04:375044..378949(-)	LmxM.04	4
LmxM.16.0910	LmxM.16.0910.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.16:328,955..329,437(-)	flagellar calcium-binding protein, putative	LmxM.16:328955..329437(-)	LmxM.16	16
LmxM.21.1410	LmxM.21.1410.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.21:556,302..557,633(-)	Protein of unknown function (DUF971), putative	LmxM.21:556302..557633(-)	LmxM.21	21
LmxM.31.2650	LmxM.31.2650.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.31:1,029,852..1,035,959(-)	SpoU rRNA Methylase family, putative	LmxM.31:1029852..1035959(-)	LmxM.31	31
LmxM.34.1140	LmxM.34.1140.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.34:442,251..444,635(+)	oligosaccharyl transferase-like protein	LmxM.34:442251..444635(+)	LmxM.34	34
LmxM.34.2680	LmxM.34.2680.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.34:998,994..999,221(-)	heat shock factor binding protein 1, putative	LmxM.34:998994..999221(-)	LmxM.34	34
LmxM.36.0300	LmxM.36.0300.1	Leishmania mexicana MHOM/GT/2001/U1103	LmxM.20:80,929..81,852(-)	Mutt-Nudix-related hydrolase 5, putative	LmxM.20:80929..81852(-)	LmxM.20	20
